states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Florida,Deerfield Beach,"77,431",464.9,5.2,22.0,192.4,245.4,777.3285714285714,767.1,798.0586206896552,237.6
Florida,Delray Beach,"62,044",736.6,9.7,41.9,253.0,432.0,777.3285714285714,910.6,798.0586206896552,249.8
Alabama,Dothan,"66,275",481.3,7.5,45.3,150.9,277.6,777.3285714285714,521.5048780487805,798.0586206896552,196.2
Minnesota,Duluth,"86,830",342.0057553956834,2.3,28.092157534246574,103.7,245.3,777.3285714285714,739.4,798.0586206896552,198.1
Minnesota,Eagan,"65,180",342.0057553956834,5.49954128440367,28.092157534246574,16.9,23.0,777.3285714285714,277.7,798.0586206896552,67.5
New Jersey,East Orange,"64,682",562.8,7.7,34.0,219.5,301.5,777.3285714285714,539.6,739.0,522.6
Minnesota,Eden Prairie,"62,052",342.0057553956834,5.49954128440367,28.092157534246574,4.8,17.7,777.3285714285714,172.4,798.0586206896552,32.2
Texas,Edinburg,"80,332",444.4,1.2,36.1,62.2,344.8,777.3285714285714,521.5048780487805,798.0586206896552,260.2
Oklahoma,Edmond,"83,473",101.8,2.4,14.4,24.0,61.1,777.3285714285714,363.0,798.0586206896552,56.3
California,Encinitas,"60,960",246.1,1.6,19.7,37.7,187.0,777.3285714285714,477.4,798.0586206896552,124.7
Illinois,Evanston,"74,820",304.7,4.0,5.3,105.6,189.8,777.3285714285714,562.7,798.0586206896552,84.2
Connecticut,Fairfield,"60,122",54.9,5.49954128440367,3.3,21.6,29.9,777.3285714285714,384.2,798.0586206896552,116.4
Massachusetts,Fall River,"89,753",342.0057553956834,2.2,57.9,291.9,710.8,777.3285714285714,862.4,798.0586206896552,304.2
Michigan,Farmington Hills,"80,316",92.1,1.2,18.7,14.9,57.3,777.3285714285714,287.6,798.0586206896552,156.9
Arkansas,Fayetteville,"75,387",514.7,1.3,76.9,53.1,383.4,777.3285714285714,668.6,798.0586206896552,176.4
Washington,Federal Way,"91,978",321.8,3.3,46.8,115.2,156.6,777.3285714285714,521.5048780487805,798.0586206896552,867.6
Indiana,Fishers,"79,375",17.6,5.49954128440367,1.3,11.3,5.0,777.3285714285714,127.2,873.1,34.0
Arizona,Flagstaff,"66,633",393.2,5.49954128440367,42.0,67.5,283.6,777.3285714285714,363.2,798.0586206896552,88.5
Texas,Flower Mound,"68,023",30.9,5.49954128440367,28.092157534246574,7.4,23.5,827.7,157.3,645.4,25.0
California,Folsom,"73,678",115.4,5.49954128440367,9.5,32.6,73.3,777.3285714285714,319.0,798.0586206896552,107.2
Florida,Fort Myers,"64,379",342.0057553956834,37.3,40.4,267.2,826.4,777.3285714285714,787.5,798.0586206896552,310.7
Arkansas,Fort Smith,"87,483",785.3,5.7,78.9,108.6,592.1,777.3285714285714,521.5048780487805,798.0586206896552,209.2
Massachusetts,Framingham,"69,605",221.2,5.49954128440367,10.1,30.2,181.0,777.3285714285714,364.9,798.0586206896552,143.7
New Jersey,"Franklin Township, Somerset County","62,885",114.5,1.6,3.2,74.7,35.0,777.3285714285714,562.9,798.0586206896552,143.1
Tennessee,Franklin,"64,848",143.4,1.5,17.0,17.0,107.9,777.3285714285714,138.8,798.0586206896552,63.2
Maryland,Frederick,"66,808",570.3,1.5,38.9,158.7,371.2,777.3285714285714,366.7,798.0586206896552,190.1
Indiana,Gary,"80,472",904.7,46.0,69.6,341.7,447.4,777.3285714285714,521.5048780487805,798.0586206896552,963.1
North Carolina,Gastonia,"72,782",618.3,1.4,39.8,215.7,361.4,777.3285714285714,521.5048780487805,798.0586206896552,273.4
